"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"P.J. Tucker","15.22","PF","PHI","MIL","27.8","3,900","3.90","-4.28"
"Derrick Rose","15.16","PG/SG","NYK","GSW","14.9","3,900","3.89","-4.34"
"Aaron Nesmith","15.09","SG","IND","HOU","20.7","3,700","4.08","-3.41"
"Goran Dragić","15.01","PG","CHI","ORL","17.2","3,800","3.95","-3.99"
"Jeremiah Robinson-Earl","14.98","C/PF","OKC","MEM","17.0","4,500","3.33","-7.52"
"Jose Alvarado","14.95","PG","NOP","BOS","15.9","4,900","3.05","-9.55"
"Walker Kessler","14.83","C","UTA","PHX","17.6","3,700","4.01","-3.67"
"Kenrich Williams","14.81","SF","OKC","MEM","18.2","3,900","3.80","-4.69"
"Daishen Nix","14.72","PG","HOU","IND","17.7","3,500","4.20","-2.78"
"Mike Muscala","14.70","C","OKC","MEM","13.6","3,700","3.97","-3.80"
"Dyson Daniels","14.58","PG","NOP","BOS","17.0","3,500","4.16","-2.92"
"Jock Landale","14.47","C","PHX","UTA","14.6","4,100","3.53","-6.03"
"Shake Milton","14.30","PG","PHI","MIL","18.5","3,600","3.97","-3.70"
"Georges Niang","14.24","PF","PHI","MIL","21.8","4,300","3.31","-7.26"
"Reggie Bullock","14.20","SG/SF","DAL","DEN","28.0","3,500","4.06","-3.30"
"Anthony Lamb","14.09","SF","GSW","NYK","19.4","3,800","3.71","-4.91"
"Dwight Powell","13.95","C/PF","DAL","DEN","17.5","3,700","3.77","-4.55"
"Luke Kornet","13.94","PF","BOS","NOP","14.5","4,100","3.40","-6.56"
"Corey Kispert","13.87","SF","WAS","MIA","21.6","3,700","3.75","-4.63"
"Javonte Green","13.66","SG/SF","CHI","ORL","15.7","3,900","3.50","-5.84"
"Sam Hauser","13.10","SF","BOS","NOP","20.6","4,400","2.98","-8.90"
"Duane Washington Jr.","13.01","N/A","PHX","UTA","15.5","3,500","3.72","-4.49"
"Cedi Osman","12.83","SF/PF","CLE","CHA","17.7","4,100","3.13","-7.67"
"Donte DiVincenzo","12.61","SG/SF","GSW","NYK","15.6","3,500","3.60","-4.89"
"Lindy Waters III","12.61","N/A","OKC","MEM","15.8","3,500","3.60","-4.89"
"Davon Reed","12.14","SF","DEN","DAL","16.2","3,500","3.47","-5.36"
"Jonathan Kuminga","12.13","SF","GSW","NYK","13.6","3,800","3.19","-6.87"
"Josh Green","12.03","SG","DAL","DEN","17.9","3,800","3.17","-6.97"
"Jake LaRavia","12.02","PF","MEM","OKC","19.3","3,500","3.44","-5.48"
"Isaiah Livers","11.85","PF","DET","LAL","17.5","3,800","3.12","-7.15"
"JaMychal Green","11.34","PF/C","GSW","NYK","12.0","3,800","2.98","-7.66"
"David Roddy","10.83","PF","MEM","OKC","16.9","3,700","2.93","-7.67"
"Christian Braun","10.80","SG","DEN","DAL","18.0","3,500","3.09","-6.70"
"James Bouknight","10.79","SG","CHA","CLE","15.2","4,400","2.45","-11.21"
"Jordan Nwora","10.29","PF/SF","MIL","PHI","14.8","3,700","2.78","-8.21"
"Oshae Brissett","10.18","SF","IND","HOU","12.9","3,500","2.91","-7.32"
"Coby White","10.12","PG/SG","CHI","ORL","14.0","3,900","2.59","-9.38"
"George Hill","8.92","PG","MIL","PHI","15.9","3,600","2.48","-9.08"
"Kevon Harris","8.42","SG","ORL","CHI","13.6","3,500","2.41","-9.08"
"Matt Ryan","8.38","SF","LAL","DET","13.4","3,500","2.40","-9.12"
"Caleb Houstan","8.26","SF","ORL","CHI","18.2","3,500","2.36","-9.24"
